City,Link
Atlanta,https://www.tripadvisor.com/Hotels-g60898-Atlanta_Georgia-Hotels.html
Boston,https://www.tripadvisor.com/Hotels-g60745-Boston_Massachusetts-Hotels.html
Dallas,https://www.tripadvisor.com/Hotels-g55711-Dallas_Texas-Hotels.html
"Washington, D.C.",https://www.tripadvisor.com/Hotels-g28970-Washington_DC_District_of_Columbia-Hotels.html
Denver,https://www.tripadvisor.com/Hotels-g33388-Denver_Colorado-Hotels.html
Houston,https://www.tripadvisor.com/Hotels-g56003-Houston_Texas-Hotels.html
Miami,https://www.tripadvisor.com/Hotels-g34438-Miami_Florida-Hotels.html
Philadelphia,https://www.tripadvisor.com/Hotels-g60795-Philadelphia_Pennsylvania-Hotels.html
San Francisco,https://www.tripadvisor.com/Hotels-g60713-San_Francisco_California-Hotels.html
Seattle,https://www.tripadvisor.com/Hotels-g60878-Seattle_Washington-Hotels.html